,snare,kick,tom,hi-hat,oh,cymbal,perc,bass_di,bass_amp,double_bass,synth_bass,bass,main_vox,backing_vox,elec_gtr,gtr,lead_gtr,piano,synth,organ,elec_piano,brass,strings,banjo,other,_master
gate,x,x,x,,,,,,,,,,x,x,,,,,,,,x,x,,,
invert,x,,x,x,x,x,x,,,,,,x,x,x,x,x,x,x,,x,x,x,x,x,
pitchshift,x,,x,,x,,,,,,,,,,,,,,,,,,,,,
hpf,x,,x,x,x,x,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,,x,
high_shelf,x,,,x,x,x,x,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,
high_mid,x,,x,x,x,x,x,,,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,
mid,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
low_mid,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
lpf,,,x,x,x,,x,x,x,x,x,x,,,x,,x,,x,,,,x,x,,
low_shelf,x,x,x,,,,,,x,x,x,x,,,,,,,,,,,,,,
soft_comp,,,x,x,x,x,x,,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,
hard_comp,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,,,,
dist,,,,,,,,x,,,x,,x,,x,,x,,x,x,x,,,,,
clipping,x,x,,,,,,x,x,,x,,x,,,,,,,,,,,,,
saturator,x,x,,,,,,x,,,x,,,,x,,x,,x,x,x,,,,,
gain_plus,x,x,x,,,,,x,x,x,x,x,x,,,,x,,,,,,,,,
gain_minus,,,,x,x,x,x,,,,,,,x,x,x,,x,x,x,x,x,x,x,x,
chorus,,,,,,,,,,,,,,,x,,x,,x,,x,,,,,
phaser,,,,,,,,,,,,,,,x,,x,,x,,x,,,,,
tremolo,,,,,,,,,,,,,,,x,,x,,x,x,x,,,x,,
autopan,,,,,,,,,,,,,,,x,,,x,x,,x,,,,,
vibrato,,,,,,,,,,,,,,,x,,x,,x,,x,,,,,
delay,,,,,,,,,,,,,,,x,,x,x,x,,x,,,,,
reverb_short,x,,x,x,,x,x,,,,,,x,x,x,x,,,x,x,x,x,,x,x,
reverb_long,,,,,,x,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,x,
pan,,,x,,,x,x,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,
limit,,,,,,,,,,,,,,,,,,,,,,,,,,x
m_lo,,,,,,,,,,,,,,,,,,,,,,,,,,x
m_lm,,,,,,,,,,,,,,,,,,,,,,,,,,x
m_m,,,,,,,,,,,,,,,,,,,,,,,,,,x
m_hm,,,,,,,,,,,,,,,,,,,,,,,,,,x
m_hi,,,,,,,,,,,,,,,,,,,,,,,,,,x
m_comp,,,,,,,,,,,,,,,,,,,,,,,,,,x